,angleRotated,color,length,logWidthLengthRatio,x,y,centerX,centerY,width,lengthRotatedProjectX,widthRotatedProjectX,lengthRotatedProjectY,widthRotatedProjectY,vertexRightBottom,vertexRightTop,vertexLeftBottom,vertexLeftTop
0,0.7810098198855063,0.4980625478082993,7.489884932700574,-0.5080086643208513,4.128493696284552,13.96548873283849,10,10,4.50660802789347,5.319338674845929,3.172638329584512,5.272856186867174,3.200606496701065,"(8, 15)","(5, 18)","(3, 9)","(0, 12)"
1,0.7668204676815062,0.5020981920069773,8.507085271811457,-0.5068123982315471,5.489665466686256,28.8682554013802,10,30,5.124776833712693,6.126125832027284,3.5558218118973937,5.9026334895569645,3.6904564537998596,"(10, 29)","(6, 33)","(4, 24)","(0, 27)"
2,0.7928895175358112,0.4997188287072701,7.586660070998133,-0.5100292359234495,9.340152603754833,51.303087898198044,10,50,4.555622640804185,5.3242406687738715,3.245353032367503,5.404615835917642,3.1970895109006174,"(13, 52)","(10, 55)","(8, 47)","(5, 50)"
3,0.7750924900373249,0.4987075690446166,8.327627886703542,-0.5122444822486861,7.432414065864147,66.5182287222246,10,70,4.989492323816299,5.94889356346093,3.4915576616861976,5.827525340143587,3.5642753463421126,"(12, 67)","(8, 71)","(6, 61)","(2, 65)"
4,0.8014346920366227,0.5003072168690355,8.635356839850852,-0.49792329423267756,10.273278134186675,94.46205332358714,10,90,5.2484969550410625,6.007417478827747,3.7702835674451642,6.203251001421253,3.651257606377325,"(15, 95)","(11, 99)","(9, 89)","(5, 93)"
5,0.7633380412726509,0.49756142678096027,6.74440556984694,-0.5129680584123463,10.037304287134123,110.12897906515293,10,110,4.037982953481741,4.873051061054954,2.7916075661592035,4.662658023802905,2.9175732260170975,"(13, 111)","(11, 113)","(8, 106)","(6, 109)"
6,0.7806648073600593,0.4999443223863564,6.21698979881409,-0.5062056395708323,8.830576945100983,130.3901342649308,10,130,3.7474671865350717,4.416834512608822,2.6372870938923985,4.375218285615708,2.6623724567658966,"(12, 131)","(9, 133)","(7, 126)","(5, 129)"
7,0.803980356455227,0.5031135565314702,6.821756763044055,-0.49533702726978135,8.750917993184354,153.45745278733253,10,150,4.156943220064734,4.733247721405519,2.993512675571331,4.912507642940292,2.88427786387441,"(12, 154)","(9, 157)","(7, 149)","(4, 152)"
8,0.7839417685729464,0.5023436189811888,7.019936086598341,-0.4888830395695874,30.651789463825253,8.801455097753232,30,10,4.305404413792027,4.971068460713786,3.03994360938211,4.956609831207445,3.048811246711861,"(34, 9)","(31, 12)","(29, 4)","(26, 7)"
9,0.8016670301082628,0.49915973055245805,7.613359808409541,-0.5106591110599239,28.708997156480535,29.8195686039995,30,30,4.568776581063118,5.2951670248269656,3.282741470975525,5.470324830527974,3.1776292864977562,"(32, 30)","(29, 34)","(27, 25)","(24, 28)"
10,0.7805086638714243,0.4976898238866586,7.075967226590839,-0.5123562359686157,30.283468100212236,48.368895506248506,30,50,4.239086969565689,5.027868939447948,2.98279515795706,4.978940260690242,3.0121074650831328,"(34, 49)","(31, 52)","(29, 44)","(26, 47)"
11,0.7836781695206656,0.49831761658963675,6.133452131832453,-0.48840633322921356,24.885069595587602,74.98410012404219,30,70,3.7635076638414855,4.344458798638447,2.6566206052020984,4.329539559862345,2.6657751022562337,"(28, 75)","(25, 78)","(24, 71)","(21, 74)"
12,0.7732749566471707,0.5013595974730097,6.033275789874412,-0.5000988081290089,30.952878520812323,91.18708785707132,30,90,3.659005187742045,4.317575120313283,2.5557515579489687,4.214138326768173,2.618482945899136,"(34, 91)","(31, 94)","(30, 87)","(27, 90)"
13,0.7911000407157472,0.5030523205323651,7.143244388536303,-0.5135594470934378,31.974394100571985,112.18114848707302,30,110,4.27424561378335,5.0221542042183955,3.0395318921667305,5.0797546735454535,3.005065963243992,"(36, 113)","(32, 116)","(30, 108)","(27, 111)"
14,0.7639179920618371,0.5003341665458942,6.650968203315178,-0.5083474761208049,25.529487758344185,130.2955794835786,30,130,4.0004824343413405,4.802872085755135,2.7673579344262804,4.6008475055563025,2.8888734430988023,"(29, 131)","(26, 134)","(24, 126)","(21, 129)"
