,angleRotated,color,length,logWidthLengthRatio,x,y,centerX,centerY,width,lengthRotatedProjectX,widthRotatedProjectX,lengthRotatedProjectY,widthRotatedProjectY,vertexRightBottom,vertexRightTop,vertexLeftBottom,vertexLeftTop
0,1.6687570733493604,0.8635323304896839,8.911917230649385,-0.9391972171501962,34.32624756516086,280.75496276767365,30,270,3.484038740890139,-0.8716224432676449,3.467335150848066,8.869190664448338,-0.3407534295011077,"(35, 285)","(32, 285)","(36, 276)","(33, 276)"
1,1.9452565178236336,0.7442079724478379,12.335092632352199,-1.0865667914198718,27.778729419983247,327.3628521957249,30,330,4.161524478205049,-4.511809044848144,3.8731524864737596,11.480334898927643,-1.5221615549020866,"(27, 333)","(23, 332)","(31, 322)","(28, 320)"
2,2.4092541245328407,0.8727493995750274,10.016161145651925,-0.8167540869369025,27.12231472594861,388.8989783301613,30,390,4.425776822300389,-7.448146357677443,2.959120508604006,6.696909729889116,-3.2910646144326146,"(24, 393)","(21, 390)","(32, 387)","(29, 383)"
3,2.1902074825072364,0.8420592015039104,15.566468238612988,-0.8436923675361041,27.409354798441697,452.48024325461756,30,450,6.695440426730615,-9.037203610599752,5.451564549183899,12.674536848512837,-3.88707685465312,"(25, 460)","(20, 456)","(34, 448)","(29, 444)"
4,1.5836698356885837,0.6376143536360348,0.40908318305586,-0.8993127446951669,32.1368853594248,505.77523099033533,30,510,0.1664351546872805,-0.005266190533985558,0.16642136345906394,0.4090492854123743,-0.0021425452632622545,"(32, 505)","(32, 505)","(32, 505)","(32, 505)"
5,1.721455034549268,0.7860098035890795,6.291680140670338,-0.9537453357638506,31.27634421081195,564.7000257642453,30,570,2.424154520519639,-0.9443145676620787,2.396694734133378,6.220410676941412,-0.36383992460028025,"(32, 567)","(29, 567)","(32, 561)","(30, 561)"
6,2.5131878639717087,0.7033073553578109,10.458811676247917,-1.4015815546180965,28.007230929784864,624.6443694858698,30,630,2.575035424446622,-8.460826075943583,1.5137475396203615,6.148265104226793,-2.0831168530469664,"(24, 628)","(23, 626)","(32, 622)","(31, 620)"
7,1.7353344586487118,0.8114805951487857,4.03825732855028,-0.9937217776289824,30.156429965549457,687.2060068527121,30,690,1.4949480647847346,-0.6614532979471202,1.474757465226848,3.983717081599159,-0.24486758699612568,"(30, 689)","(29, 689)","(31, 685)","(29, 685)"
8,1.810122739303521,0.6174882090917155,16.956940558211095,-0.9566920822225402,39.80082588386043,756.3068263606543,30,750,6.51420476038404,-4.019613787401123,6.328536036415341,16.473631600070433,-1.544181108549932,"(40, 765)","(34, 763)","(44, 748)","(38, 747)"
9,1.6868346208732976,0.6827864857307766,12.380381893070915,-1.2060555102544743,26.845200108095653,812.5820868497788,30,810,3.706387209192536,-1.43337662585149,3.681462155729183,12.297125162685006,-0.42911832913530035,"(27, 818)","(24, 818)","(29, 806)","(25, 806)"
10,2.08124272331868,0.6699218377766591,9.081414585084778,-1.3747527538540882,31.9820909957182,865.3588967040232,30,870,2.296708975276704,-4.436877557462754,2.0039394438801916,7.923774883619162,-1.1220957278136816,"(30, 869)","(28, 868)","(35, 861)","(33, 860)"
11,1.5977010935282367,0.8046218171484213,16.22194921352878,-0.9101461896128571,23.62748405167917,930.8877004925724,30,930,6.528773010921907,-0.43639510647241764,6.526410173512494,16.216078305106755,-0.17563392387268723,"(26, 939)","(20, 938)","(27, 922)","(20, 922)"
12,1.7771390180934747,0.852418608800857,12.158243249750774,-1.1531506241039806,96.52154830009817,273.0633246802701,90,270,3.8376368457370984,-2.4909997548340868,3.7562281888367415,11.900327690510323,-0.7862609955652373,"(97, 279)","(93, 278)","(99, 267)","(95, 266)"
13,1.9370044350066067,0.8710834050633207,15.986067961063732,-1.3715256779627947,86.93306813758247,333.09188526931405,90,330,4.05597828516487,-5.724252150355441,3.7870338532516232,14.926061308158273,-1.4523547927607499,"(85, 341)","(82, 339)","(91, 326)","(87, 324)"
14,2.426691895937354,0.7990627366307264,19.1230926682845,-1.0011887095078487,86.50209577155789,381.8583902174511,90,390,7.026635049994331,-14.440962198018118,4.606257740327566,12.535999521187295,-5.3062217966723955,"(81, 390)","(76, 385)","(96, 378)","(91, 372)"
15,2.0240284615040545,0.6184712926051876,12.04783744035354,-1.1249101559264811,93.19774799588642,450.33790612283383,90,450,3.911711579658717,-5.275430234179299,3.516771621587151,10.831446017660406,-1.71283532309308,"(92, 456)","(88, 454)","(97, 445)","(94, 444)"
16,2.0535140242169843,0.7206347092106865,9.538011444356119,-1.0231200369716789,97.03744322855795,515.9134749506824,90,510,3.4286444629970285,-4.42743094341588,3.0368761382948235,8.448166520254668,-1.5915357910822183,"(96, 520)","(93, 519)","(100, 512)","(97, 510)"
17,2.319479234542031,0.8267610138431591,9.094895225475454,-1.1852557476733794,88.51062406475694,570.5376465292576,90,570,2.78001839397008,-6.1906629630323025,2.036602597149847,6.6627930510046856,-1.8922875394861323,"(86, 574)","(84, 572)","(92, 568)","(90, 566)"
