,informationContent
0,782.3666202598607
1,756.4367873632486
2,713.372067763497
3,798.5006654690866
4,759.9746102121161
5,771.0656677736346
6,724.2088522617141
7,739.9767414577404
8,768.7370084263889
9,667.0464852581538
10,769.4467365963958
11,727.0077030159664
12,695.0205892544768
13,743.4580462321189
14,708.3613397742943
15,680.4978609695443
16,724.3696424112214
17,696.3922121143738
18,739.0521926550734
19,737.7445100454268
20,718.3738146958143
21,753.8146517070128
22,699.0151442656153
23,696.1490650125503
24,746.4437898165535
25,756.4449859431869
26,744.4992638547916
27,750.1062820562942
28,751.7727592129462
29,742.5393143585452
30,758.6228631699628
31,728.6847573670461
32,723.9736866362695
33,730.9677180082073
34,708.2691150117814
35,766.7070295448383
36,734.6486372328814
37,765.9315853791809
38,739.1529803701966
39,750.134572760434
40,818.3911316381833
41,729.9756601118571
42,779.0391618698313
43,734.1712870124261
44,726.9340450119412
45,777.84695195496
46,717.5373108579658
47,747.9268835141188
48,765.423785079637
49,738.9212547515156
50,731.316134179112
51,774.0316967980307
52,714.2824076561017
53,757.0229427615394
54,756.7140967878601
55,749.6933627031095
56,730.9779375817725
57,727.9561764458125
58,768.9744273700894
59,720.139780223015
60,760.7079552699935
61,731.8563964446893
62,726.7463962145317
63,688.4455932875123
64,708.1032387954443
65,720.5686146950527
66,706.4657361549068
67,708.2868656992126
68,739.9255593186002
69,765.7154449645464
70,726.5169676150604
71,704.475724334156
72,739.3854404435765
73,710.3553330500201
74,739.6661275878183
75,799.4672047008777
76,722.4951396165575
77,737.8305586273816
78,734.0296383665467
79,803.3544255644089
80,749.609296052841
81,778.671063717302
82,777.6305697804712
83,752.7544241963591
84,751.0194870824647
85,729.9735216088354
86,787.7560548685516
87,759.6929841634607
88,743.4529424932459
89,713.6905987396595
90,726.5808552429108
91,713.3064676705479
92,764.5584457797648
93,764.6891201312623
94,746.8379715956435
95,699.5181149628305
96,720.4936214661301
97,711.4624469279654
98,758.8373946955088
99,722.1500520482076
100,769.1891077317347
101,731.9624428641109
102,740.0286801408942
103,782.2093422921114
104,746.552349306745
105,748.6873527046072
106,786.4991442951114
107,757.899871563277
108,719.9867489112681
109,726.1763378569933
110,708.2062611739343
111,832.3884974659582
112,735.9498151917339
113,740.0651201009322
114,749.9889188528742
115,671.7505012401559
116,763.1275305150461
117,753.5428915726462
118,719.9311140089046
119,724.637041548956
120,713.3006252897713
121,803.5376189046318
122,755.7462094782444
123,636.5915707041336
124,738.9713460084917
125,734.4501937176044
126,719.3780592762312
127,719.0498644438303
128,713.2019475884648
129,847.9682525605414
130,730.5335409081198
131,688.5743394777916
132,739.2527926972465
133,729.6211918128593
134,756.0892893556924
135,724.5254559768053
136,770.1239638813274
137,734.170870533844
138,803.1553466675235
139,708.1254542787913
140,741.8457878349819
141,759.4251771730233
142,734.9244122083188
143,740.0568461128864
144,771.4216096297786
145,762.163064209392
146,718.2865373376221
147,755.719696608169
148,752.8140820661682
149,766.696832410196
